"Freq [GHz]","dB(S(1,1)) [] - Lm='19mm'","dB(S(1,1)) [] - Lm='19.2mm'","dB(S(1,1)) [] - Lm='19.4mm'","dB(S(1,1)) [] - Lm='19.6mm'","dB(S(1,1)) [] - Lm='19.8mm'","dB(S(1,1)) [] - Lm='20mm'"
3,-0.273589059338141,-0.316905404257795,-0.282205953136289,-0.3337692180859,-0.315029658458962,-0.447651445138556
3.02,-0.276439210314605,-0.320160724859207,-0.285813512140031,-0.337775515164956,-0.319959916908082,-0.451507090033178
3.04,-0.279411861429802,-0.323515063833835,-0.289607131609572,-0.341917473256638,-0.325067607089326,-0.455570546462119
3.06,-0.282539115569167,-0.327006690092654,-0.293621256358625,-0.346239889346733,-0.330400763245373,-0.459887395394665
3.08,-0.28585334463942,-0.330673996158583,-0.297891365090995,-0.350788265100589,-0.336008541268355,-0.464505443255676
3.1,-0.28938736494621,-0.334555723362931,-0.302454176754041,-0.355609098648054,-0.341941553562702,-0.469475094521161
3.12,-0.293174600845858,-0.338691170757202,-0.307347852645226,-0.360750167155812,-0.3482521965787,-0.474849735153632
3.14,-0.297249235438999,-0.343120386514553,-0.312612192506096,-0.366260798928427,-0.354994969503256,-0.480686125034095
3.16,-0.301646346114351,-0.347884339402462,-0.318288821667914,-0.372192132358102,-0.362226780899842,-0.487044795577885
3.18,-0.306402021604609,-0.353025066503257,-0.324421364845788,-0.378597357283723,-0.370007237974728,-0.493990446096655
3.2,-0.311553455838212,-0.35858579168094,-0.331055600337214,-0.385531932130757,-0.378398910496834,-0.501592329000966
3.22,-0.317139012212033,-0.36461100729295,-0.338239586082693,-0.39305376748163,-0.387467558083001,-0.509924609402152
3.24,-0.323198249925372,-0.371146509266652,-0.346023746196516,-0.401223363356392,-0.397282305434666,-0.519066678810145
3.26,-0.329771901651985,-0.378239372853255,-0.354460903079862,-0.410103883347817,-0.407915745025543,-0.529103395152699
3.28,-0.336901789065057,-0.385937853113557,-0.363606235996892,-0.419761143740973,-0.419443940549889,-0.540125211978507
3.3,-0.344630659546675,-0.394291190473497,-0.373517141963661,-0.430263489769708,-0.431946297039056,-0.552228148194732
3.32,-0.353001923852677,-0.403349297581802,-0.384252968956572,-0.441681524194635,-0.445505254905131,-0.565513535912117
3.34,-0.362059270663887,-0.413162299349258,-0.395874584872314,-0.454087645511128,-0.460205755378915,-0.580087467989382
3.36,-0.371846130047656,-0.423779893735191,-0.408443738599624,-0.467555344574542,-0.476134414209621,-0.596059849192864
3.38,-0.382404954244787,-0.435250497048835,-0.422022162472279,-0.482158199809883,-0.493378329782629,-0.613542936634122
3.4,-0.393776281470847,-0.447620134991151,-0.43667035907582,-0.497968503419073,-0.512023442217699,-0.632649238431412
3.42,-0.405997547451262,-0.460931040464864,-0.452446011208991,-0.515055445660706,-0.532152353506572,-0.653488627850434
3.44,-0.419101611432503,-0.475219922827016,-0.469401953680529,-0.533482783674748,-0.553841518282077,-0.676164528827141
3.46,-0.433114970081403,-0.490515882721611,-0.487583652295181,-0.553305928726166,-0.577157724507912,-0.700769045255666
3.48,-0.448055646080288,-0.5068379643115,-0.507026152411645,-0.574568405437657,-0.602153808637841,-0.727376950488411
3.5,-0.463930760759128,-0.524192365317949,-0.527750491167151,-0.597297673813375,-0.62886359711775,-0.756038536607329
3.52,-0.480733834259496,-0.542569367367769,-0.549759618556402,-0.621500365328901,-0.6572961424512,-0.786771456717586
3.54,-0.498441904532708,-0.561940106568637,-0.573033947238855,-0.647157073204763,-0.687429433435939,-0.819551886125192
3.56,-0.517012618669947,-0.582253376988599,-0.59752675145809,-0.674216956948496,-0.719203908281155,-0.85430557966317
3.58,-0.536381524861459,-0.603432744567733,-0.623159759790943,-0.702592569921805,-0.752516281956217,-0.890899696962362
3.6,-0.556459874892006,-0.625374337842422,-0.649819425527295,-0.732155485013605,-0.787214399958258,-0.929136566381375
3.62,-0.57713332424006,-0.647945760328033,-0.677354493266541,-0.762733454240304,-0.823094019104012,-0.96875079487694
3.64,-0.598261972008408,-0.670986616505963,-0.705575580037296,-0.794109955749251,-0.859898544161713,-1.00941121312609
3.66,-0.619682192947298,-0.694311132959586,-0.734257512627316,-0.826027006131481,-0.897322755337563,-1.05072897053026
3.68,-0.641210653301908,-0.71771326175037,-0.763145064297026,-0.85819199225693,-0.935021381159541,-1.09227258247382
3.7,-0.662650749854961,-0.740974455558143,-0.791962476346234,-0.890288961006357,-0.972622957067466,-1.13358986599819
3.72,-0.683801459523028,-0.763874002175439,-0.820426721861342,-0.921994286048611,-1.00974875933155,-1.17423556868812
3.74,-0.704468250728033,-0.786201425928965,-0.848263903436878,-0.95299595170872,-1.04603578303166,-1.21380230809535
3.76,-0.724475332782692,-0.807770063591145,-0.875227561171897,-0.983014964454968,-1.0811618855624,-1.25195149213429
3.78,-0.743678178665066,-0.828430586209718,-0.901117135881474,-1.01182678670276,-1.11487054452875,-1.28844048374165
3.8,-0.761975036543462,-0.848083057091117,-0.925794535285313,-1.03928036478046,-1.14699238621125,-1.32314259430556
3.82,-0.779316122135491,-0.866686160348865,-0.949196805506401,-1.0653124276413,-1.17746086506998,-1.35605752718598
3.84,-0.795709394535452,-0.884262526037764,-0.971343352766167,-1.08995529725913,-1.20632022233793,-1.38731141294214
3.86,-0.811222241186967,-0.900899575420394,-0.992336919543686,-1.11333737752774,-1.23372497786159,-1.41714720320266
3.88,-0.825978952725176,-0.916745914555349,-1.01235843040913,-1.13567656911374,-1.25993145627181,-1.44590752958194
3.9,-0.840154437144533,-0.932003887874909,-1.0316566769617,-1.15726784334332,-1.2852829297787,-1.47401291604945
3.92,-0.853965085061811,-0.946919346890647,-1.05053442539294,-1.1784668882927,-1.31019065343976,-1.50193837655618
3.94,-0.867657967931089,-0.961769917438179,-1.06933280077393,-1.19967200605187,-1.33511327951612,-1.53019103339393
3.96,-0.881499599079772,-0.976853046900513,-1.08841572654242,-1.22130630347223,-1.36053690613722,-1.55929066368055
3.98,-0.895765339893882,-0.992474920441308,-1.10815585681849,-1.24380178625524,-1.38695747962055,-1.58975425031794
4,-0.910730255673523,-1.00894102580248,-1.1289229569535,-1.26758638825542,-1.4148666030392,-1.62208486165048
4.02,-0.926661896053194,-1.02654880020225,-1.15107518700953,-1.29307438675793,-1.44474116008006,-1.65676461545357
4.04,-0.943815162199746,-1.04558247665446,-1.17495331487497,-1.32066017110965,-1.47703664505771,-1.69425112814191
4.06,-0.962429172906535,-1.06631000173935,-1.20087757825073,-1.35071499515009,-1.51218374071131,-1.7349766872423
4.08,-0.982725873813583,-1.08898173756431,-1.22914673640052,-1.38358615733908,-1.55058750153194,-1.77934936610419
4.1,-1.00491004663187,-1.11383058232444,-1.26003878544424,-1.41959799150819,-1.59262844999969,-1.82775537125836
4.12,-1.02917035359656,-1.14107312977565,-1.29381282472762,-1.45905407874102,-1.63866493398808,-1.88056202900808
4.14,-1.05568107634978,-1.17091151733975,-1.33071162463314,-1.50224017005476,-1.68903618554655,-1.93812094557101
4.16,-1.08460425856716,-1.20353566608964,-1.3709645314132,-1.54942741028261,-1.74406563269123,-2.00077099386242
4.18,-1.1160920221808,-1.2391256782615,-1.41479043315559,-1.60087555503412,-1.80406412542846,-2.06884087952251
4.2,-1.15028888712818,-1.27785421884415,-1.46240059123981,-1.65683596265827,-1.86933283294428,-2.14265111582804
4.22,-1.18733397777451,-1.31988876124192,-1.51400120800986,-1.7175542162595,-1.94016564562681,-2.22251529274545
4.24,-1.22736304262362,-1.3653936204069,-1.56979565240971,-1.78327228602056,-2.01685097281474,-2.30874056277885
4.26,-1.2705102471347,-1.41453172985788,-1.62998630201272,-1.85423018095125,-2.09967286692292,-2.40162728939132
4.28,-1.31690972328111,-1.46746614262175,-1.69477598444613,-1.9306670644963,-2.18891143006365,-2.50146781654608
4.3,-1.36669687546002,-1.52436125192695,-1.76436901626353,-2.01282182328307,-2.28484247388474,-2.60854432380543
4.32,-1.42000945220483,-1.58538373717761,-1.83897184534571,-2.10093308556566,-2.38773641026861,-2.72312573339371
4.34,-1.4769883984787,-1.65070324595972,-1.91879330607022,-2.19523868810133,-2.49785635252606,-2.84546363612285
4.36,-1.53777850551692,-1.72049282496304,-2.00404449652926,-2.29597458928362,-2.61545540603942,-2.97578720415071
4.38,-1.60252887534862,-1.79492911286674,-2.09493828535612,-2.40337322392754,-2.74077312581666,-3.11429706200126
4.4,-1.67139321611437,-1.87419230730508,-2.19168845326654,-2.5176612923783,-2.87403111764509,-3.26115809481789
4.42,-1.74452998274113,-1.95846591666158,-2.29450847200734,-2.63905697455831,-3.01542776082483,-3.4164911861918
4.44,-1.82210237589899,-2.04793630613376,-2.40360992161119,-2.76776655896809,-3.16513203507864,-3.58036389901939
4.46,-1.90427821078027,-2.14279204663607,-2.519200546142,-2.90398047821239,-3.32327644348018,-3.75278014391835
4.48,-1.9912296663547,-2.24322307495739,-2.64148194886052,-3.04786874700132,-3.4899490385607,-3.9336689233786
4.5,-2.08313292555067,-2.34941967439331,-2.77064693028578,-3.19957580647615,-3.66518458183597,-4.12287229908309
4.52,-2.18016771744378,-2.46157128703501,-2.90687647730755,-3.35921479090156,-3.84895489985227,-4.32013280809572
4.54,-2.28251677413321,-2.57986517220221,-3.05033641866073,-3.52686125013495,-4.04115854486118,-4.52508065437089
4.56,-2.39036521768334,-2.70448493033947,-3.20117377207219,-3.70254638484317,-4.24160992811229,-4.73722112832634
4.58,-2.50389989643112,-2.83560891823366,-3.35951282163224,-3.88624988233941,-4.45002817140768,-4.95592286064551
4.6,-2.62330869524674,-2.97340858984709,-3.52545098085859,-4.07789248040729,-4.66602602074628,-5.18040769570567
4.62,-2.74877985112889,-3.11804680758032,-3.69905451795922,-4.27732843582646,-4.88909928657546,-5.40974316862624
4.64,-2.88050131396868,-3.26967618157481,-3.88035424541353,-4.4843381346165,-5.11861741855108,-5.64283877366463
4.66,-3.01866020258327,-3.42843750991395,-4.06934130657607,-4.69862115292272,-5.35381598570137,-5.87844739556036
4.68,-3.16344241835994,-3.59445841044382,-4.26596322785053,-4.91979016074879,-5.59379200720308,-6.11517340132575
4.7,-3.31503249321864,-3.76785225553692,-4.47012044613948,-5.14736615366414,-5.83750324882023,-6.35148890613207
4.72,-3.4736137652469,-3.94871754453482,-4.68166356743586,-5.38077559617283,-6.08377273997398,-6.58575957120296
4.74,-3.63936899442612,-4.13713787482843,-4.9003916627019,-5.6193501574372,-6.33129983997544,-6.81628090056486
4.76,-3.81248155248829,-4.33318270147152,-5.12605195990204,-5.86232980428012,-6.57867914257292,-7.04132532869904
4.78,-3.99313734525332,-4.53690910666634,-5.35834134348738,-6.10887007199926,-6.8244283033307,-7.25919942201988
4.8,-4.18152765295351,-4.74836483408664,-5.59691012077351,-6.35805434019653,-7.06702545596312,-7.46830930597225
4.82,-4.37785310426195,-4.96759287839455,-5.84136855312543,-6.60891187510555,-7.30495622200371,-7.66723111002573
4.84,-4.5823290333284,-5.19463795701468,-6.09129667199362,-6.86044223833956,-7.53676942161728,-7.85478200988637
4.86,-4.79519250662541,-5.42955522891391,-6.3462578981332,-7.11164638634728,-7.76113952730231,-8.03008660705419
4.88,-5.01671134872365,-5.67242166381193,-6.60581694941037,-7.36156438929591,-7.97693279934749,-8.19263317946804
4.9,-5.24719554475076,-5.92335050568687,-6.8695624527932,-7.6093191971782,-8.18327309534414,-8.34231493446427
4.92,-5.48701145468977,-6.18250931877736,-7.13713456770829,-7.85416531655893,-8.37960277871802,-8.47945280720906
4.94,-5.73659934471054,-6.45014215689145,-7.40825778585792,-8.09554070542334,-8.56573416239222,-8.60479839144588
4.96,-5.99649482940612,-6.72659646556651,-7.68277891131735,-8.33311974335136,-8.74188762549289,-8.71951791789811
4.98,-6.26735493521056,-7.01235542447633,-7.96071007073136,-8.56686489862684,-8.90871390730201,-8.82516038598365
5,-6.5499896529718,-7.30807658487815,-8.24227649645631,-8.79707479158231,-9.06729993382644,-8.92361462470535
5.02,-6.84540006659338,-7.61463788482862,-8.52796881818844,-9.024426807754,-9.21915956931803,-9.0170609695241
5.04,-7.1548244539851,-7.93319247949205,-8.81859975436108,-9.25001325274089,-9.36621256578177,-9.10792334685428
5.06,-7.47979419865561,-8.26523437324999,-9.11536548446521,-9.47537120768725,-9.51075641572994,-9.19882698746514
5.08,-7.82220198687251,-8.61267768583437,-9.41991268450402,-9.70250763403031,-9.65543663029181,-9.29256599003708
5.1,-8.18438568675025,-8.97795367985198,-9.7344133062519,-9.93392276267289,-9.80322115737896,-9.3920838056971
5.12,-8.56923264513852,-9.36413166101083,-10.0616507855335,-10.1726362827545,-9.95738435596966,-9.50046865800637
5.14,-8.98031109377276,-9.77507292071777,-10.4051236369068,-10.4222222816102,-10.1215053765033,-9.62096512064596
5.16,-9.42203822326034,-10.2156316686653,-10.769175604034,-10.686860344935,-10.299485215728,-9.75700263316199
5.18,-9.8998987004325,-10.6919245213979,-11.1591661718794,-10.9714118952415,-10.4955863438806,-9.91224165679536
5.2,-10.4207336035389,-11.2117025942612,-11.5817021886266,-11.2815330618454,-10.7144988101102,-10.0906384139886
5.22,-10.9931287687428,-11.7848813858008,-12.0449621987711,-11.6238386367147,-10.961437204702,-10.2965296215914
