"Freq [GHz]","dB(S(1,1)) [] - Lm='19mm'","dB(S(1,1)) [] - Lm='19.2mm'","dB(S(1,1)) [] - Lm='19.4mm'","dB(S(1,1)) [] - Lm='19.6mm'","dB(S(1,1)) [] - Lm='19.8mm'","dB(S(1,1)) [] - Lm='20mm'"
5.24,-11.6279442173878,-12.4243208875994,-12.5591628248978,-12.006136675737,-11.2422737650818,-10.534739147743
5.26,-12.3390424173263,-13.1470170093881,-13.1372467668585,-12.4377609786188,-11.5637140131604,-10.8107087596657
5.28,-13.1442869464438,-13.9759987956687,-13.795925639666,-12.9300400892449,-11.9335218571874,-11.1306543570663
5.3,-14.0668672047615,-14.9435014531121,-14.5573099528683,-13.4969571927027,-12.3607990480042,-11.5017456458761
5.32,-15.1368477893315,-16.0965973954586,-15.4515487903652,-14.1560727560633,-12.8563138372903,-11.9322972229916
5.34,-16.3921032688232,-17.5079520080735,-16.5212795874082,-14.9297846746413,-13.4328412222517,-12.4319332900774
5.36,-17.8747120888112,-19.2983695677258,-17.8294458950836,-15.8469187376372,-14.1053833018606,-13.0116243847619
5.38,-19.6063266931289,-21.6899185075322,-19.4734155367221,-16.9441924538815,-14.8908757503222,-13.683337913541
5.4,-21.480249310385,-25.147392258666,-21.6089749696913,-18.2651307797883,-15.8062566701133,-14.4586605052153
5.42,-22.9375590526873,-30.6312720664221,-24.463825174135,-19.8458042007771,-16.8617650729418,-15.344820136736
5.44,-22.8638138711067,-33.0210214099854,-27.9693046978458,-21.6443440636501,-18.0411460910074,-16.3344069683146
5.46,-21.1427036178269,-26.4308543245017,-28.9448658014513,-23.286428526772,-19.2504441930044,-17.3811790297838
5.48,-18.8824886992925,-21.8639473599668,-25.3015590942846,-23.7211542903653,-20.2220990916334,-18.353029398898
5.5,-16.7386610110659,-18.6946868712097,-21.5730932021568,-22.3092886439788,-20.4918625914344,-18.9837272486112
5.52,-14.8582762087967,-16.2855860162366,-18.6545776301849,-20.0212827352672,-19.7655573479395,-18.9498063123505
5.54,-13.2316927079376,-14.3483562047276,-16.3373390950892,-17.7439100749883,-18.3106753555446,-18.1569855977919
5.56,-11.8211650409118,-12.7354745059307,-14.4366190861684,-15.7278035791322,-16.6016156914775,-16.8540924291775
5.58,-10.5911834264941,-11.3626365038509,-12.8375150434302,-13.9849935094427,-14.92529086406,-15.3661072808313
5.6,-9.51334274066935,-10.177452532953,-11.4682578498774,-12.4784149944419,-13.3879916288361,-13.8955126093861
5.62,-8.56559810713343,-9.14511444092853,-10.2819766456917,-11.1694715336957,-12.0127788831055,-12.5290595103643
5.64,-7.73068483606926,-8.24112968098529,-9.24652137930453,-10.026662496039,-10.7935209932274,-11.2929880619625
5.66,-6.99475191389892,-7.44734345072859,-8.33874679192771,-9.02544774627306,-9.71600217260974,-10.1883101955493
5.68,-6.34635898351444,-6.74963730427168,-7.54118750431144,-8.146615017779,-8.76510258889653,-9.20696220825351
5.7,-5.77578651722758,-6.13654908369789,-6.84005933501858,-7.37476443536377,-7.92690123259583,-8.33833261017048
5.72,-5.27458023303375,-5.59842979850263,-6.22403057023526,-6.69717720394742,-7.18905343001085,-7.57168857418029
5.74,-4.83526084194977,-5.12692659307799,-5.68345891594195,-6.10303238431341,-6.54064464772145,-6.89696252267793
5.76,-4.45114606143049,-4.71466832687251,-5.20991842489881,-5.58288602717566,-5.97193729928031,-6.30491463240867
5.78,-4.11624622163205,-4.35507791305837,-4.79590973666819,-5.12833529353553,-5.47414350696808,-5.78707762050416
5.8,-3.82520667195817,-4.04226391155995,-4.43468686906605,-4.73180871345171,-5.03925566981215,-5.33564093428843
5.82,-3.57327970389192,-3.77096238822943,-4.12015924974414,-4.3864420354878,-4.65993423262554,-4.94333168465997
5.84,-3.35631592156023,-3.53651325483523,-3.84684615719062,-4.08601639568738,-4.32944759566689,-4.60331367707812
5.86,-3.17076933236962,-3.33486540773128,-3.60987672289659,-3.82495402634036,-4.04166959888741,-4.30912134060227
5.88,-3.01370920480869,-3.16261252315477,-3.4050458936922,-3.5983913121058,-3.79116560907435,-4.05466504667921
5.9,-2.88281532458088,-3.01706314660186,-3.22895926196477,-3.40238918208612,-3.57345069036419,-3.83439976514306
5.92,-2.77626948957586,-2.89632765954733,-3.07932814955329,-3.23441188240542,-3.38561000543297,-3.64387631288016
5.94,-2.69224541865526,-2.79929188519402,-2.95547986840512,-3.09430517516179,-3.22765954752132,-3.4811500813743
5.96,-2.62712325724318,-2.72491964749293,-2.85891202648151,-2.9859039235601,-3.10507646078354,-3.34975862825779
5.98,-2.57113283745286,-2.66941404988518,-2.79232173243653,-2.91741590741919,-3.0306239788183,-3.26196227420392
6,-2.50948220536897,-2.62338397228939,-2.75263393370026,-2.88969157413595,-3.00976415963477,-3.2259923050008
3,,,,,,
3.02,,,,,,
3.04,,,,,,
3.06,,,,,,
3.08,,,,,,
3.1,,,,,,
3.12,,,,,,
3.14,,,,,,
3.16,,,,,,
3.18,,,,,,
3.2,,,,,,
3.22,,,,,,
3.24,,,,,,
3.26,,,,,,
3.28,,,,,,
3.3,,,,,,
3.32,,,,,,
3.34,,,,,,
3.36,,,,,,
3.38,,,,,,
3.4,,,,,,
3.42,,,,,,
3.44,,,,,,
3.46,,,,,,
3.48,,,,,,
3.5,,,,,,
3.52,,,,,,
3.54,,,,,,
3.56,,,,,,
3.58,,,,,,
3.6,,,,,,
3.62,,,,,,
3.64,,,,,,
3.66,,,,,,
3.68,,,,,,
3.7,,,,,,
3.72,,,,,,
3.74,,,,,,
3.76,,,,,,
3.78,,,,,,
3.8,,,,,,
3.82,,,,,,
3.84,,,,,,
3.86,,,,,,
3.88,,,,,,
3.9,,,,,,
3.92,,,,,,
3.94,,,,,,
3.96,,,,,,
3.98,,,,,,
4,,,,,,
4.02,,,,,,
4.04,,,,,,
4.06,,,,,,
4.08,,,,,,
4.1,,,,,,
4.12,,,,,,
4.14,,,,,,
4.16,,,,,,
4.18,,,,,,
4.2,,,,,,
4.22,,,,,,
4.24,,,,,,
4.26,,,,,,
4.28,,,,,,
4.3,,,,,,
4.32,,,,,,
4.34,,,,,,
4.36,,,,,,
4.38,,,,,,
4.4,,,,,,
4.42,,,,,,
4.44,,,,,,
4.46,,,,,,
4.48,,,,,,
4.5,,,,,,
4.52,,,,,,
4.54,,,,,,
4.56,,,,,,
4.58,,,,,,
4.6,,,,,,
4.62,,,,,,
4.64,,,,,,
4.66,,,,,,
4.68,,,,,,
4.7,,,,,,
4.72,,,,,,
4.74,,,,,,
4.76,,,,,,
4.78,,,,,,
4.8,,,,,,
4.82,,,,,,
4.84,,,,,,
4.86,,,,,,
4.88,,,,,,
4.9,,,,,,
4.92,,,,,,
4.94,,,,,,
4.96,,,,,,
4.98,,,,,,
5,,,,,,
5.02,,,,,,
5.04,,,,,,
5.06,,,,,,
5.08,,,,,,
5.1,,,,,,
5.12,,,,,,
5.14,,,,,,
5.16,,,,,,
5.18,,,,,,
5.2,,,,,,
5.22,,,,,,
5.24,,,,,,
5.26,,,,,,
5.28,,,,,,
5.3,,,,,,
5.32,,,,,,
5.34,,,,,,
5.36,,,,,,
5.38,,,,,,
5.4,,,,,,
5.42,,,,,,
5.44,,,,,,
5.46,,,,,,
5.48,,,,,,
5.5,,,,,,
5.52,,,,,,
5.54,,,,,,
5.56,,,,,,
5.58,,,,,,
5.6,,,,,,
5.62,,,,,,
5.64,,,,,,
5.66,,,,,,
5.68,,,,,,
5.7,,,,,,
5.72,,,,,,
5.74,,,,,,
5.76,,,,,,
5.78,,,,,,
5.8,,,,,,
5.82,,,,,,
5.84,,,,,,
5.86,,,,,,
5.88,,,,,,
5.9,,,,,,
5.92,,,,,,
5.94,,,,,,
5.96,,,,,,
5.98,,,,,,
6,,,,,,
3,,,,,,
3.02,,,,,,
3.04,,,,,,
3.06,,,,,,
3.08,,,,,,
3.1,,,,,,
3.12,,,,,,
3.14,,,,,,
3.16,,,,,,
3.18,,,,,,
3.2,,,,,,
3.22,,,,,,
3.24,,,,,,
3.26,,,,,,
3.28,,,,,,
3.3,,,,,,
3.32,,,,,,
3.34,,,,,,
3.36,,,,,,
3.38,,,,,,
3.4,,,,,,
3.42,,,,,,
3.44,,,,,,
3.46,,,,,,
3.48,,,,,,
3.5,,,,,,
3.52,,,,,,
3.54,,,,,,
3.56,,,,,,
3.58,,,,,,
3.6,,,,,,
3.62,,,,,,
3.64,,,,,,
3.66,,,,,,
3.68,,,,,,
3.7,,,,,,
3.72,,,,,,
3.74,,,,,,
3.76,,,,,,
3.78,,,,,,
3.8,,,,,,
3.82,,,,,,
3.84,,,,,,
3.86,,,,,,
3.88,,,,,,
3.9,,,,,,
3.92,,,,,,
3.94,,,,,,
3.96,,,,,,
3.98,,,,,,
4,,,,,,
4.02,,,,,,
4.04,,,,,,
4.06,,,,,,
4.08,,,,,,
4.1,,,,,,
4.12,,,,,,
4.14,,,,,,
4.16,,,,,,
4.18,,,,,,
4.2,,,,,,
4.22,,,,,,
4.24,,,,,,
4.26,,,,,,
4.28,,,,,,
4.3,,,,,,
4.32,,,,,,
4.34,,,,,,
4.36,,,,,,
4.38,,,,,,
4.4,,,,,,
4.42,,,,,,
4.44,,,,,,
4.46,,,,,,
4.48,,,,,,
4.5,,,,,,
4.52,,,,,,
4.54,,,,,,
4.56,,,,,,
4.58,,,,,,
4.6,,,,,,
4.62,,,,,,
4.64,,,,,,
4.66,,,,,,
4.68,,,,,,
4.7,,,,,,
4.72,,,,,,
4.74,,,,,,
4.76,,,,,,
4.78,,,,,,
4.8,,,,,,
4.82,,,,,,
4.84,,,,,,
4.86,,,,,,
4.88,,,,,,
4.9,,,,,,
4.92,,,,,,
4.94,,,,,,
4.96,,,,,,
4.98,,,,,,
5,,,,,,
5.02,,,,,,
5.04,,,,,,
5.06,,,,,,
5.08,,,,,,
5.1,,,,,,
5.12,,,,,,
5.14,,,,,,
5.16,,,,,,
5.18,,,,,,
5.2,,,,,,
5.22,,,,,,
5.24,,,,,,
5.26,,,,,,
5.28,,,,,,
5.3,,,,,,
5.32,,,,,,
5.34,,,,,,
5.36,,,,,,
5.38,,,,,,
5.4,,,,,,
5.42,,,,,,
5.44,,,,,,
5.46,,,,,,
5.48,,,,,,
5.5,,,,,,
5.52,,,,,,
5.54,,,,,,
5.56,,,,,,
5.58,,,,,,
5.6,,,,,,
5.62,,,,,,
5.64,,,,,,
5.66,,,,,,
5.68,,,,,,
5.7,,,,,,
5.72,,,,,,
5.74,,,,,,
5.76,,,,,,
5.78,,,,,,
5.8,,,,,,
5.82,,,,,,
5.84,,,,,,
5.86,,,,,,
5.88,,,,,,
5.9,,,,,,
5.92,,,,,,
5.94,,,,,,
5.96,,,,,,
5.98,,,,,,
6,,,,,,
3,,,,,,
3.02,,,,,,
3.04,,,,,,
3.06,,,,,,
3.08,,,,,,
3.1,,,,,,
3.12,,,,,,
3.14,,,,,,
3.16,,,,,,
3.18,,,,,,
3.2,,,,,,
3.22,,,,,,
3.24,,,,,,
3.26,,,,,,
3.28,,,,,,
3.3,,,,,,
3.32,,,,,,
3.34,,,,,,
3.36,,,,,,
3.38,,,,,,
3.4,,,,,,
3.42,,,,,,
3.44,,,,,,
3.46,,,,,,
3.48,,,,,,
3.5,,,,,,
3.52,,,,,,
3.54,,,,,,
3.56,,,,,,
3.58,,,,,,
3.6,,,,,,
3.62,,,,,,
3.64,,,,,,
3.66,,,,,,
3.68,,,,,,
3.7,,,,,,
3.72,,,,,,
3.74,,,,,,
3.76,,,,,,
3.78,,,,,,
3.8,,,,,,
3.82,,,,,,
3.84,,,,,,
3.86,,,,,,
3.88,,,,,,
3.9,,,,,,
3.92,,,,,,
3.94,,,,,,
3.96,,,,,,
3.98,,,,,,
4,,,,,,
4.02,,,,,,
4.04,,,,,,
4.06,,,,,,
4.08,,,,,,
4.1,,,,,,
4.12,,,,,,
4.14,,,,,,
4.16,,,,,,
4.18,,,,,,
4.2,,,,,,
4.22,,,,,,
4.24,,,,,,
4.26,,,,,,
4.28,,,,,,
4.3,,,,,,
4.32,,,,,,
4.34,,,,,,
4.36,,,,,,
4.38,,,,,,
4.4,,,,,,
4.42,,,,,,
4.44,,,,,,
4.46,,,,,,
4.48,,,,,,
4.5,,,,,,
4.52,,,,,,
4.54,,,,,,
4.56,,,,,,
4.58,,,,,,
4.6,,,,,,
4.62,,,,,,
4.64,,,,,,
4.66,,,,,,
4.68,,,,,,
4.7,,,,,,
4.72,,,,,,
4.74,,,,,,
4.76,,,,,,
4.78,,,,,,
4.8,,,,,,
4.82,,,,,,
4.84,,,,,,
4.86,,,,,,
4.88,,,,,,
4.9,,,,,,
4.92,,,,,,
4.94,,,,,,
4.96,,,,,,
4.98,,,,,,
5,,,,,,
5.02,,,,,,
5.04,,,,,,
5.06,,,,,,
5.08,,,,,,
5.1,,,,,,
5.12,,,,,,
5.14,,,,,,
5.16,,,,,,
5.18,,,,,,
5.2,,,,,,
5.22,,,,,,
5.24,,,,,,
5.26,,,,,,
5.28,,,,,,
5.3,,,,,,
5.32,,,,,,
5.34,,,,,,
5.36,,,,,,
5.38,,,,,,
5.4,,,,,,
5.42,,,,,,
5.44,,,,,,
5.46,,,,,,
5.48,,,,,,
5.5,,,,,,
5.52,,,,,,
5.54,,,,,,
5.56,,,,,,
5.58,,,,,,
5.6,,,,,,
5.62,,,,,,
5.64,,,,,,
5.66,,,,,,
5.68,,,,,,
5.7,,,,,,
5.72,,,,,,
5.74,,,,,,
5.76,,,,,,
5.78,,,,,,
5.8,,,,,,
5.82,,,,,,
5.84,,,,,,
5.86,,,,,,
5.88,,,,,,
5.9,,,,,,
5.92,,,,,,
5.94,,,,,,
5.96,,,,,,
5.98,,,,,,
6,,,,,,
3,,,,,,
3.02,,,,,,
3.04,,,,,,
3.06,,,,,,
3.08,,,,,,
3.1,,,,,,
3.12,,,,,,
3.14,,,,,,
3.16,,,,,,
3.18,,,,,,
3.2,,,,,,
3.22,,,,,,
3.24,,,,,,
3.26,,,,,,
3.28,,,,,,
3.3,,,,,,
3.32,,,,,,
3.34,,,,,,
3.36,,,,,,
3.38,,,,,,
3.4,,,,,,
3.42,,,,,,
3.44,,,,,,
3.46,,,,,,
3.48,,,,,,
3.5,,,,,,
3.52,,,,,,
3.54,,,,,,
3.56,,,,,,
3.58,,,,,,
3.6,,,,,,
3.62,,,,,,
3.64,,,,,,
3.66,,,,,,
3.68,,,,,,
3.7,,,,,,
3.72,,,,,,
3.74,,,,,,
3.76,,,,,,
3.78,,,,,,
3.8,,,,,,
3.82,,,,,,
3.84,,,,,,
3.86,,,,,,
3.88,,,,,,
3.9,,,,,,
3.92,,,,,,
3.94,,,,,,
3.96,,,,,,
3.98,,,,,,
4,,,,,,
4.02,,,,,,
4.04,,,,,,
4.06,,,,,,
4.08,,,,,,
4.1,,,,,,
4.12,,,,,,
4.14,,,,,,
4.16,,,,,,
4.18,,,,,,
4.2,,,,,,
4.22,,,,,,
4.24,,,,,,
4.26,,,,,,
4.28,,,,,,
4.3,,,,,,
4.32,,,,,,
4.34,,,,,,
4.36,,,,,,
4.38,,,,,,
4.4,,,,,,
4.42,,,,,,
4.44,,,,,,
4.46,,,,,,
4.48,,,,,,
4.5,,,,,,
4.52,,,,,,
4.54,,,,,,
4.56,,,,,,
4.58,,,,,,
4.6,,,,,,
4.62,,,,,,
4.64,,,,,,
4.66,,,,,,
4.68,,,,,,
4.7,,,,,,
4.72,,,,,,
4.74,,,,,,
4.76,,,,,,
4.78,,,,,,
4.8,,,,,,
4.82,,,,,,
4.84,,,,,,
4.86,,,,,,
4.88,,,,,,
4.9,,,,,,
4.92,,,,,,
4.94,,,,,,
4.96,,,,,,
4.98,,,,,,
5,,,,,,
5.02,,,,,,
5.04,,,,,,
5.06,,,,,,
5.08,,,,,,
5.1,,,,,,
5.12,,,,,,
5.14,,,,,,
5.16,,,,,,
5.18,,,,,,
5.2,,,,,,
5.22,,,,,,
5.24,,,,,,
5.26,,,,,,
5.28,,,,,,
5.3,,,,,,
5.32,,,,,,
5.34,,,,,,
5.36,,,,,,
5.38,,,,,,
5.4,,,,,,
5.42,,,,,,
5.44,,,,,,
5.46,,,,,,
5.48,,,,,,
5.5,,,,,,
5.52,,,,,,
5.54,,,,,,
5.56,,,,,,
5.58,,,,,,
5.6,,,,,,
5.62,,,,,,
5.64,,,,,,
5.66,,,,,,
5.68,,,,,,
5.7,,,,,,
5.72,,,,,,
5.74,,,,,,
5.76,,,,,,
5.78,,,,,,
5.8,,,,,,
5.82,,,,,,
5.84,,,,,,
5.86,,,,,,
5.88,,,,,,
5.9,,,,,,
5.92,,,,,,
5.94,,,,,,
5.96,,,,,,
5.98,,,,,,
6,,,,,,
3,,,,,,
3.02,,,,,,
3.04,,,,,,
3.06,,,,,,
3.08,,,,,,
3.1,,,,,,
3.12,,,,,,
3.14,,,,,,
3.16,,,,,,
3.18,,,,,,
3.2,,,,,,
3.22,,,,,,
3.24,,,,,,
3.26,,,,,,
3.28,,,,,,
3.3,,,,,,
3.32,,,,,,
3.34,,,,,,
3.36,,,,,,
3.38,,,,,,
3.4,,,,,,
3.42,,,,,,
3.44,,,,,,
3.46,,,,,,
3.48,,,,,,
3.5,,,,,,
3.52,,,,,,
3.54,,,,,,
3.56,,,,,,
3.58,,,,,,
3.6,,,,,,
3.62,,,,,,
3.64,,,,,,
3.66,,,,,,
3.68,,,,,,
3.7,,,,,,
3.72,,,,,,
3.74,,,,,,
3.76,,,,,,
3.78,,,,,,
3.8,,,,,,
3.82,,,,,,
3.84,,,,,,
3.86,,,,,,
3.88,,,,,,
3.9,,,,,,
3.92,,,,,,
3.94,,,,,,
3.96,,,,,,
3.98,,,,,,
4,,,,,,
4.02,,,,,,
4.04,,,,,,
4.06,,,,,,
4.08,,,,,,
4.1,,,,,,
4.12,,,,,,
4.14,,,,,,
4.16,,,,,,
4.18,,,,,,
4.2,,,,,,
4.22,,,,,,
4.24,,,,,,
4.26,,,,,,
4.28,,,,,,
4.3,,,,,,
4.32,,,,,,
4.34,,,,,,
4.36,,,,,,
4.38,,,,,,
4.4,,,,,,
4.42,,,,,,
4.44,,,,,,
4.46,,,,,,
4.48,,,,,,
4.5,,,,,,
4.52,,,,,,
4.54,,,,,,
4.56,,,,,,
4.58,,,,,,
4.6,,,,,,
4.62,,,,,,
4.64,,,,,,
4.66,,,,,,
4.68,,,,,,
4.7,,,,,,
4.72,,,,,,
4.74,,,,,,
4.76,,,,,,
4.78,,,,,,
4.8,,,,,,
4.82,,,,,,
4.84,,,,,,
4.86,,,,,,
4.88,,,,,,
4.9,,,,,,
4.92,,,,,,
4.94,,,,,,
4.96,,,,,,
4.98,,,,,,
5,,,,,,
5.02,,,,,,
5.04,,,,,,
5.06,,,,,,
5.08,,,,,,
5.1,,,,,,
5.12,,,,,,
5.14,,,,,,
5.16,,,,,,
5.18,,,,,,
5.2,,,,,,
5.22,,,,,,
5.24,,,,,,
5.26,,,,,,
5.28,,,,,,
5.3,,,,,,
5.32,,,,,,
5.34,,,,,,
5.36,,,,,,
5.38,,,,,,
5.4,,,,,,
5.42,,,,,,
5.44,,,,,,
5.46,,,,,,
5.48,,,,,,
5.5,,,,,,
5.52,,,,,,
5.54,,,,,,
5.56,,,,,,
5.58,,,,,,
5.6,,,,,,
5.62,,,,,,
5.64,,,,,,
5.66,,,,,,
5.68,,,,,,
5.7,,,,,,
5.72,,,,,,
5.74,,,,,,
5.76,,,,,,
5.78,,,,,,
5.8,,,,,,
5.82,,,,,,
5.84,,,,,,
5.86,,,,,,
5.88,,,,,,
5.9,,,,,,
5.92,,,,,,
5.94,,,,,,
5.96,,,,,,
5.98,,,,,,
6,,,,,,
